country,country_code_2_digit,country_code_3_digit,population,reported_date,hospital_occupancy_count,icu_occupancy_count,source
Austria,AT,AUT,8858775,2020-10-25T00:00:00.0000000,1225,174,Country_Website
Belgium,BE,BEL,11455519,2020-10-25T00:00:00.0000000,4825,756,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-25T00:00:00.0000000,1976,138,External_Github
Czechia,CZ,CZE,10649800,2020-10-25T00:00:00.0000000,5613,828,Country_Website
Denmark,DK,DNK,5806081,2020-10-25T00:00:00.0000000,127,18,Country_Website
Estonia,EE,EST,1324820,2020-10-25T00:00:00.0000000,29,4,Country_API
France,FR,FRA,67012883,2020-10-25T00:00:00.0000000,16454,2575,Country_Website
Hungary,HU,HUN,9772756,2020-10-25T00:00:00.0000000,2449,221,JRC
Ireland,IE,IRL,4904240,2020-10-25T00:00:00.0000000,319,39,Country_Website
Italy,IT,ITA,60359546,2020-10-25T00:00:00.0000000,13214,1208,Country_Github
Latvia,LV,LVA,1919968,2020-10-25T00:00:00.0000000,146,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-25T00:00:00.0000000,114,12,Country_Website
Netherlands,NL,NLD,17282163,2020-10-25T00:00:00.0000000,,537,Other Website
Portugal,PT,PRT,10276617,2020-10-25T00:00:00.0000000,1574,230,Country_Website
Romania,RO,ROU,19414458,2020-10-25T00:00:00.0000000,,828,Country_Website
Slovakia,SK,SVK,5450421,2020-10-25T00:00:00.0000000,1117,,JRC
Slovenia,SI,SVN,2080908,2020-10-25T00:00:00.0000000,508,73,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-25T00:00:00.0000000,9199,,Country_Website
Austria,AT,AUT,8858775,2020-10-24T00:00:00.0000000,1177,175,Country_Website
Belgium,BE,BEL,11455519,2020-10-24T00:00:00.0000000,4408,694,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-24T00:00:00.0000000,1886,127,External_Github
Czechia,CZ,CZE,10649800,2020-10-24T00:00:00.0000000,5345,800,Country_Website
Denmark,DK,DNK,5806081,2020-10-24T00:00:00.0000000,120,17,Country_Website
Estonia,EE,EST,1324820,2020-10-24T00:00:00.0000000,28,3,Country_API
France,FR,FRA,67012883,2020-10-24T00:00:00.0000000,15637,2491,Country_Website
Hungary,HU,HUN,9772756,2020-10-24T00:00:00.0000000,2245,205,JRC
Ireland,IE,IRL,4904240,2020-10-24T00:00:00.0000000,312,37,Country_Website
Italy,IT,ITA,60359546,2020-10-24T00:00:00.0000000,12415,1128,Country_Github
Latvia,LV,LVA,1919968,2020-10-24T00:00:00.0000000,127,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-24T00:00:00.0000000,103,12,Country_Website
Netherlands,NL,NLD,17282163,2020-10-24T00:00:00.0000000,,525,Other Website
Portugal,PT,PRT,10276617,2020-10-24T00:00:00.0000000,1455,221,Country_Website
Romania,RO,ROU,19414458,2020-10-24T00:00:00.0000000,,787,Country_Website
Slovakia,SK,SVK,5450421,2020-10-24T00:00:00.0000000,920,,JRC
Slovenia,SI,SVN,2080908,2020-10-24T00:00:00.0000000,450,66,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-24T00:00:00.0000000,8738,,Country_Website
Austria,AT,AUT,8858775,2020-10-23T00:00:00.0000000,1058,158,Country_Website
Belgium,BE,BEL,11455519,2020-10-23T00:00:00.0000000,4057,633,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-23T00:00:00.0000000,1792,112,External_Github
Croatia,HR,HRV,4076246,2020-10-23T00:00:00.0000000,716,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-23T00:00:00.0000000,5314,772,Country_Website
Denmark,DK,DNK,5806081,2020-10-23T00:00:00.0000000,125,18,Country_Website
Estonia,EE,EST,1324820,2020-10-23T00:00:00.0000000,27,3,Country_API
Finland,FI,FIN,5517919,2020-10-23T00:00:00.0000000,70,11,External_Github
France,FR,FRA,67012883,2020-10-23T00:00:00.0000000,14985,2432,Country_Website
Hungary,HU,HUN,9772756,2020-10-23T00:00:00.0000000,2209,200,JRC
Ireland,IE,IRL,4904240,2020-10-23T00:00:00.0000000,311,38,Country_Website
